Organisation Name,Industry,Roles Within Company,Location,Jobs Page?,Jobs Page URL,Homepage,About Page,LinkedIn,Notes,Scrape Worthiness,Open to speculative apps,Email for CVs,,,,,
1PartCarbon,IT Services / Consultancy,Developer,Edinburgh,N,,,,,,,,,,,,,
2i Testing,IT Services / Consultancy,Tester,Edinburgh; Glasgow,Y,https://2itesting.com/vacancy/current-opportunities,https://2itesting.com/,https://2itesting.com/about/our-business/,,,1,,,,,,,
7Elements,IT Services / Consultancy,Developer; Tester,Other,Y,https://www.7elements.co.uk/careers/,https://www.7elements.co.uk/,https://www.7elements.co.uk/about-us/,,,,,,,,,,
80 Days,Tourism and Travel,Developer,Edinburgh,Y,https://www.eighty-days.com/join-us/,https://www.eighty-days.com/join-us/,https://www.eighty-days.com/join-us/culture/,,,2,,,,,,,
Adimo,IT Services / Consultancy,Developer,Glasgow,Y,https://adimo.co/careers,https://adimo.co/,https://adimo.co/about,,,,,,,,,,
Adobe,Creative Industries,Developer; Support,Edinburgh,Y,https://adobe.wd5.myworkdayjobs.com/external_experienced/2/refreshFacet/318c8bb6f553100021d223d9780d30be,,,,,3,,,,,,,
AFS Logistics,Creative Industries,MI Developer,Edinburgh; Glasgow,Y,https://recruitment.afs.delivery/jobs,https://afslogistics.co.uk,https://afslogistics.co.uk/team,,,3,,,,,,,
Agenor,IT Services / Consultancy,Developer; Tester,Borders,N,https://www.agenor.co.uk/,https://www.agenor.co.uk/,https://www.agenor.co.uk/working-with-us,,,,,,,,,,
Agile CIC,Creative Industries,,Glasgow,N,,https://go.actify.org.uk/,,https://www.linkedin.com/company/agilecic/,"Not sure which compnay is which, linked in page links to a new business",,,,,,,,
AgileCase,Professional Services,Developer; Support,Glasgow,N,https://www.agilecase.com/careers-support-And-Onboarding-Developer,https://www.agilecase.com/,,https://www.linkedin.com/company/saascase/,"Jobs page lists a generic job, open to all",,,,,,,,
Air Menzies International,Tourism and Travel,Developer,Edinburgh,Y,https://airmenzies.com/careers/,https://airmenzies.com/,https://airmenzies.com/about-us/,,Mostly non tech,3,,,,,,,
Airts,IT Services / Consultancy,Developer; Tester,Edinburgh,Y,https://dayshape.com/careers/,https://dayshape.com/,https://dayshape.com/about/,,Now dayshape,1,,,,,,,
Allatus Ltd,Financial Services / Fintech,Data Analyst; Developer,Edinburgh,N,,http://www.allatus.co.uk/,http://www.allatus.co.uk/about.,,,,,,,,,,
Amati Global Investors,Financial Services / Fintech,Developer; DevOps,Edinburgh,N,,http://www.amatiglobal.com/,http://www.amatiglobal.com/about_team.php,https://www.linkedin.com/company/amati-global-investors/,,,,,,,,,
Ambergreen Internet Marketing,Creative Industries,Developer,Edinburgh,Y,https://www.dacgroup.com/en-gb/careers/jobs/,https://www.dacgroup.com/en-gb/,,,Have been aquired by DAC Group,2,,,,,,,
AMCS Group,IT Services / Consultancy,Developer; Tester,Glasgow,,,,,,,,,,,,,,
Appointedd,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.appointedd.com/jobs,https://www.appointedd.com/,,,,1,,,,,,,
Aridhia,IT Services / Consultancy,Data Engineer; Developer; DevOps; Tester,Edinburgh; Glasgow,N,https://www.aridhia.com/careers/,https://www.aridhia.com/,https://www.aridhia.com/about/,,,,Y,,,,,,
Arnold Clark,FMCG,Developer; Product / Project Manager; Tester,Glasgow,,,,,,,,,,,,,,
Ascensos,Professional Services,Data Analyst; Developer,Glasgow,,,,,,,,,,,,,,
Astrosat,Space,Data Engineer; Developer,Edinburgh,Y,https://www.astrosat.space/careers,https://www.astrosat.space,,,,2,Y,,,,,,
Attacat,Creative Industries,Data Analyst,Edinburgh,Y,https://www.attacat.co.uk/jobs,https://www.attacat.co.uk/,,,,3,,,,,,,
AutoRek,Financial Services / Fintech,Data Analyst,Edinburgh; Glasgow,Y,https://www.autorek.com/about-autorek/about/careers/,https://www.autorek.com/,https://www.autorek.com/about-autorek/about/,,,1,,,,,,,
Bad Dinosaur,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.baddinosaur.co.uk/Careers,https://www.baddinosaur.co.uk/,https://www.baddinosaur.co.uk/About,,,1,,,,,,,
Basestation,Creative Industries,,Edinburgh,N,,https://www.base-station.co.uk/,https://www.base-station.co.uk/about-us,,,,,,,,,,
BBI Group,Health Tech,Developer,Edinburgh,Y,https://www.the-bbigroup.com/careers/our-vacancies/,https://www.the-bbigroup.com/,https://www.the-bbigroup.com/about-us/vision-mission-and-values/,,,1,,,,,,,
Be Positive,IT Services / Consultancy,Business Analyst,Edinburgh,N,,,,,No longer trading,,,,,,,,
Beezer,IT Services / Consultancy,Developer; Support; Tester,Edinburgh,N,https://www.beezer.com/careers/,https://www.beezer.com/,https://www.beezer.com/how-it-works/,,,3,Y,,,,,,
Bemo,IT Services / Consultancy,Developer; Tester,Edinburgh,Y,https://bemo.co/jobs,https://bemo.co/,https://bemo.co/about,,,,,,,,,,
Betasoft,Software House,Developer,,N,,,,,,,,,,,,,
Better Internet Search Ltd.,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.betterinternetsearch.com/,https://www.betterinternetsearch.com/about_us,,,,,,,,,,
BJSS,IT Services / Consultancy,Developer; DevOps; Product / Project Manager; Tester,Glasgow,,,,,,,,,,,,,,
Blackrock,Financial Services / Fintech,Data Analyst; Developer; Support,Edinburgh,Y,https://careers.blackrock.com/job-search-results?parent_category=Technology&addtnl_categories=Europe%2C%20Middle%20East%20and%20Africa&location=GB%2C%20Edinburgh,https://careers.blackrock.com/,,,,2,,,,,,,
Bluebox Aviation,Tourism and Travel,Developer,Fife,,,,,,,,,,,,,,
Bora Apps,IT Services / Consultancy,,Edinburgh,,,,,,MIA,,,,,,,,
Broadridge Financial Solutions,Financial Services / Fintech,Business Analyst; Data Analyst; Developer,Edinburgh,Y,https://careers.smartrecruiters.com/broadridge,https://careers.smartrecruiters.com/broadridge,,,,,,,,,,,
Burness Paull LLP,Legal,,Edinburgh; Glasgow; Aberdeen,Y,https://careers.burnesspaull.com/campaign/vacancies.aspx,https://www.burnesspaull.com/,https://www.burnesspaull.com/who-we-are/about-us,,,4,,,,,,,
Business Port,IT Services / Consultancy,Developer; Tester,Aberdeen; Dundee,,,,,,,,,,,,,,
Butterwire,Financial Services / Fintech,Data Engineer; Developer,Edinburgh,N,,https://www.butterwire.com/,https://www.butterwire.com/about/company,,,,,,,,,,
CalMac Ferries,Public Sector,Data Engineer; Developer,Other,,,,,,,,,,,,,,
Carbomap,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.carbomap.xyz/,https://www.carbomap.xyz/about,,,,,,,,,,
Cardtronics / i-Design Multimedia,Financial Services / Fintech,Developer,Dundee,,,,,,,,,,,,,,
CAS,IT Services / Consultancy,Business Analyst; Developer,Edinburgh,Y,https://www.casltd.com/career-opportunities,https://www.casltd.com/,https://www.casltd.com/about-us,,,4,Y,,,,,,
Cashmaster,Financial Services / Fintech,Developer,Fife,,,,,,,,,,,,,,
Castlight Financial,Financial Services / Fintech,Developer,Glasgow,,,,,,,,,,,,,,
Cello Signal,Creative Industries,Developer,Edinburgh,Y,https://cellosignal.com/careers,https://cellosignal.com/,https://cellosignal.com/about,,,2,,,,,,,
Cezanne HR,IT Services / Consultancy,Developer,Nationwide,,,,,,,,,,,,,,
Challenges Catalyst,Third Sector,,Edinburgh,,,,,,WTF,,,,,,,,
Chief Statistician and Strategic Analysis - Scottish Government,Public Sector,Data Analyst; Tester,Edinburgh,,,,,,MIA,,,,,,,,
City Facilities Management,Professional Services,Developer; DevOps; Tester,Glasgow,,,,,,,,,,,,,,
Civic UK,Creative Industries,,Edinburgh,N,,https://www.civicuk.com/,,,,,,,,,,,
Clevermed Ltd,Health Tech,Developer; Tester,Edinburgh,N,,https://www.clevermed.com/,,,not sure what this is,,,,,,,,
CodeClan,Education,,Edinburgh,Y,https://codeclan.com/about-us/join-us/,https://codeclan.com/,https://codeclan.com/about-us,,WHpo are these chancers?,1,,,,,,,
Codify,IT Services / Consultancy,Developer,Aberdeen,,,,,,,,,,,,,,
Cofficient,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Cognitive Geology,IT Services / Consultancy,DevOps,Edinburgh,,,,,,"MIA, expired SSL",,,,,,,,
Commsworld,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.commsworld.com/about-us/careers/,https://www.commsworld.com,https://www.commsworld.com/,,,3,,,,,,,
Computershare,Financial Services / Fintech,BI Developer; Data Analyst; Data Engineer; Developer; Support; Tester,Edinburgh,Y,https://www.computershare.com/uk/individuals/im-interested-in-a-career-at-computershare/join-our-team,,,,,2,,,,,,,
Container Solutions,IT Services / Consultancy,,Edinburgh,T,https://www.container-solutions.com/careers#jobs-container,https://www.container-solutions.com/,,,,2,,,,,,,
Continuity2,IT Services / Consultancy,Developer; UX,Glasgow,,,,,,,,,,,,,,
Continuum Industries,Engineering,Back End Developer; Cloud Engineer; Data Engineer; DevOps; Front End Developer,Edinburgh,Y,https://continuum.industries/careers/join,,https://continuum.industries/company,,,,Y,,,,,,
Cooper Software,IT Services / Consultancy,Developer,Fife,,,,,,,,,,,,,,
Cortex,IT Services / Consultancy,Developer,Edinburgh,Y,https://careers.forrit.com/,,https://www.forrit.com/en/about-us,https://www.linkedin.com/company/goforrit/,Are now rebranded as Forrit I think,,,,,,,,
Craneware,Health Tech,BI Developer; Data Analyst; Developer; DevOps; Support; Tester,Edinburgh,Y,https://careers.craneware.com/,https://public.craneware.com/,https://public.craneware.com/software/,https://www.linkedin.com/company/craneware/,Recently part of a hiring scam - coolcoolcool,2,,,,,,,
CreamFloats,Creative Industries,Developer,Edinburgh,N,,https://soundsurf.com/home,https://soundsurf.com/about,https://www.linkedin.com/company/creamfloats/,Now called SoundSurf,,,,,,,,
Criton,IT Services / Consultancy,Developer; Tester,Edinburgh,Y,https://www.criton.com/careers/,https://www.criton.com/,https://www.criton.com/about-us/,https://www.linkedin.com/company/information-apps-ltd/,no vacancies so no idea what roles they would have,02-Mar,,,,,,,
